Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI
triglycerides,decreased,serum,,70-100,Humans,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C06429,LMFA01030185,445580,DHA,C22H32O2,328.2402,Unsaturated FA,HMDB0002183,https://doi.org/10.18632/aging.100630
phenylalanine,increased,serum,,70-100,Humans,COLNVLDHVKWLRT-QMMMGPOBSA-N,C00079,No result,6140,Phenylalanine,C9H11NO2,165.079,Amino acids,HMDB0000159,https://doi.org/10.18632/aging.100630
glutamine,increased,serum,,70-100,Humans,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C00064,No result,5961,Glutamine,C5H10N2O3,146.0691,Amino acids,HMDB0000641,https://doi.org/10.18632/aging.100630
glycerophosphorylcholine,decreased,serum,,70-100,Humans,SUHOQUVVVLNYQR-MRVPVSSYSA-N,D07349,No result,657272,sn-Glycero-3-phosphocholine,C8H20NO6P,257.1028,Organic phosphoric acids,No result,https://doi.org/10.18632/aging.100630
phospholipids,increased,serum,,70-100,Humans,ODKRDLFMXDISEG-BERHWORVSA-N,No result,No result,53478637,-,,,,HMDB0007927,https://doi.org/10.18632/aging.100630
TMA,increased,serum,,70-100,Humans,GETQZCLCWQTVFV-UHFFFAOYSA-N,C00565,No result,1146,Trimethylamine,C3H9N,59.0735,Tertiary amines,HMDB0000906,https://doi.org/10.18632/aging.100630
PC-O 36:6,increased,serum,,70-100,Humans,LBQJKMXWGLVABS-MSXCAIDTSA-N,No result,No result,No result,PC O-36:6,C44H78NO7P,763.5516,O-PC,No result,https://doi.org/10.18632/aging.100630
pyroglutamic.acid,increased,primary skin fibroblast,,,All rodents,ODHCTXKNWHHXJC-VKHMYHEASA-N,C01879,No result,7405,Pyroglutamic acid,C5H7NO3,129.0426,Pyrroline carboxylic acids,HMDB0000267,https://doi.org/10.7554/eLife.19130
lysine,increased,primary skin fibroblast,,,All rodents,KDXKERNSBIXSRK-YFKPBYRVSA-N,C00047,No result,5962,Lysine,C6H14N2O2,146.1055,Amino acids,HMDB0000182,https://doi.org/10.7554/eLife.19130
ADP,increased,primary skin fibroblast,,,All rodents,XTWYTFMLZFPYCI-KQYNXXCUSA-N,C00008,No result,6022,ADP,C10H15N5O10P2,427.0294,Purine rNDP,HMDB0001341,https://doi.org/10.7554/eLife.19130
histamine,increased,primary skin fibroblast,,,All rodents,NTYJJOPFIAHURM-UHFFFAOYSA-N,C00388,No result,774,Histamine,C5H9N3,111.0796,Aralkylamines,HMDB0000870,https://doi.org/10.7554/eLife.19130
arginine,increased,primary skin fibroblast,,,All rodents,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C00062,No result,28782,Arginine,C6H14N4O2,174.1117,Amino acids,HMDB0000517,https://doi.org/10.7554/eLife.19130
adenosine,increased,primary skin fibroblast,,,All rodents,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C00212,No result,60961,Adenosine,C10H13N5O4,267.0968,Purine ribonucleosides,HMDB0000050,https://doi.org/10.7554/eLife.19130
GDP,increased,primary skin fibroblast,,,All rodents,QGWNDRXFNXRZMB-UUOKFMHZSA-N,C00035,No result,8977,GDP,C10H15N5O11P2,443.0243,Purine rNDP,HMDB0001201,https://doi.org/10.7554/eLife.19130
proline,increased,primary skin fibroblast,,,All rodents,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C00148,No result,145742,Proline,C5H9NO2,115.0633,Amino acids,HMDB0000162,https://doi.org/10.7554/eLife.19130
glutamate,increased,primary skin fibroblast,,,All rodents,WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00302,No result,57397101,Glutamic acid,C5H9NO4,147.0532,Amino acids,HMDB0060475,https://doi.org/10.7554/eLife.19130
sorbitol,increased,primary skin fibroblast,,,All rodents,FBPFZTCFMRRESA-JGWLITMVSA-N,C00794,No result,5780,Sorbitol,C6H14O6,182.079,Sugar alcohols,HMDB0000247,https://doi.org/10.7554/eLife.19130
methionine,increased,primary skin fibroblast,,,All rodents,FFEARJCKVFRZRR-UHFFFAOYSA-N,C01733,No result,5255805,Methionine,C5H11NO2S,149.0511,Amino acids,HMDB0033951,https://doi.org/10.7554/eLife.19130
leucine,increased,primary skin fibroblast,,,All rodents,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C00123,No result,6106,Leucine,C6H13NO2,131.0946,Amino acids,HMDB0000687,https://doi.org/10.7554/eLife.19130
CDP,increased,primary skin fibroblast,,,All rodents,ZWIADYZPOWUWEW-XVFCMESISA-N,C00112,No result,6132,CDP,C9H15N3O11P2,403.0182,Pyrimidine rNDP,HMDB0001546,https://doi.org/10.7554/eLife.19130
tryptophan,increased,primary skin fibroblast,,,All rodents,QIVBCDIJIAJPQS-VIFPVBQESA-N,C00078,No result,6305,Tryptophan,C11H12N2O2,204.0899,Amino acids,HMDB0000929,https://doi.org/10.7554/eLife.19130
cotinine,increased,primary skin fibroblast,,,All rodents,UIKROCXWUNQSPJ-VIFPVBQESA-N,No result,No result,854019,Cotinine,C10H12N2O,176.095,Other alkaloids,No result,https://doi.org/10.7554/eLife.19130
C16.0.LPC,decreased,primary skin fibroblast,,,All rodents,ASWBNKHCZGQVJV-QHCPKHFHSA-N,No result,No result,10097314,-,,,,No result,https://doi.org/10.7554/eLife.19130
C20.4.LPE,decreased,primary skin fibroblast,,,All rodents,JPNPIRVRGLGTRE-LTKCOYKYSA-N,No result,No result,No result,-,,,,No result,https://doi.org/10.7554/eLife.19130
X2.deoxycytidine,decreased,primary skin fibroblast,,,All rodents,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C00881,No result,13711,Deoxycytidine,C9H13N3O4,227.0906,Pyrimidine deoxyribonucleosides,HMDB0000014,https://doi.org/10.7554/eLife.19130
malondialdehyde,decreased,primary skin fibroblast,,,All rodents,WSMYVTOQOOLQHP-UHFFFAOYSA-N,C19440,No result,10964,Malondialdehyde,C3H4O2,72.0211,"1,3-dicarbonyl compounds",HMDB0006112,https://doi.org/10.7554/eLife.19130
cytidine,decreased,primary skin fibroblast,,,All rodents,UHDGCWIWMRVCDJ-XVFCMESISA-N,C00475,No result,6175,Cytidine,C9H13N3O5,243.0855,Pyrimidine ribonucleosides,HMDB0000089,https://doi.org/10.7554/eLife.19130
C36.4.PC.B,decreased,primary skin fibroblast,,,All rodents,NKQPOVROGSWLTO-NVPMBMBWSA-N,No result,LMGP01011652,52922783,-,,,,HMDB0008170,https://doi.org/10.7554/eLife.19130
C18.1.LPC,decreased,primary skin fibroblast,,,All rodents,YAMUFBLWGFFICM-PTGWMXDISA-N,No result,LMGP01050032,16081932,-,,,,HMDB0002815,https://doi.org/10.7554/eLife.19130
C36.4.PC.A,decreased,primary skin fibroblast,,,All rodents,NKQPOVROGSWLTO-NVPMBMBWSA-N,No result,LMGP01011652,52922783,-,,,,HMDB0008170,https://doi.org/10.7554/eLife.19130
X3.phosphoglycerate,decreased,primary skin fibroblast,,,All rodents,OSJPPGNTCRNQQC-UHFFFAOYSA-N,C00597,No result,724,-,,,,HMDB0000807,https://doi.org/10.7554/eLife.19130
kynurenine.vs.tryptophan,decreased,primary skin fibroblast,,,All rodents,YGPSJZOEDVAXAB-UHFFFAOYSA-N/QIVBCDIJIAJPQS-VIFPVBQESA-N,C01718/C00078,No result/No result,25245862/6305,-,,,,No result/HMDB0000929,https://doi.org/10.7554/eLife.19130
C18.0.SM,decreased,primary skin fibroblast,,,All rodents,LKQLRGMMMAHREN-YJFXYUILSA-N,No result,LMSP03010001,6453725,-,,,,HMDB0062559,https://doi.org/10.7554/eLife.19130
methionine,decreased,plasma,,,All mammals,FFEARJCKVFRZRR-UHFFFAOYSA-N,C01733,No result,5255805,Methionine,C5H11NO2S,149.0511,Amino acids,HMDB0033951,https://doi.org/10.1038/s42003-021-02254-3
cystathionine,decreased,plasma,,,All mammals,ILRYLPWNYFXEMH-UHFFFAOYSA-N,C00542,No result,4083111,Cystathionine,C7H14N2O4S,222.0674,Amino acids,No result,https://doi.org/10.1038/s42003-021-02254-3
taurine,decreased,plasma,,,All mammals,XOAAWQZATWQOTB-UHFFFAOYSA-N,C00245,No result,1123,Taurine,C2H7NO3S,125.0147,Sulfonic acids,HMDB0000251,https://doi.org/10.1038/s42003-021-02254-3
glutathione,decreased,plasma,,,All mammals,RWSXRVCMGQZWBV-WDSKDSINSA-N,C00051,No result,124886,Glutathione,C10H17N3O6S,307.0838,Peptides,HMDB0000125,https://doi.org/10.1038/s42003-021-02254-3
pyridoxal,increased,plasma,,,All mammals,RADKZDMFGJYCBB-UHFFFAOYSA-N,C00250,No result,1050,Pyridoxal,C8H9NO3,167.0582,Pyridoxals,HMDB0001545,https://doi.org/10.1038/s42003-021-02254-3
pyridoxamine,increased,plasma,,,All mammals,NHZMQXZHNVQTQA-UHFFFAOYSA-N,C00534,No result,1052,Pyridoxamine,C8H12N2O2,168.0899,Pyridoxamines,HMDB0001431,https://doi.org/10.1038/s42003-021-02254-3
isoleucine,increased,plasma,,,All mammals,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C00407,LMFA01100047,6306,Isoleucine,C6H13NO2,131.0946,Amino acids,HMDB0000172,https://doi.org/10.1038/s42003-021-02254-3
leucine,increased,plasma,,,All mammals,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C00123,No result,6106,Leucine,C6H13NO2,131.0946,Amino acids,HMDB0000687,https://doi.org/10.1038/s42003-021-02254-3
phenylalanine,increased,plasma,,,All mammals,COLNVLDHVKWLRT-QMMMGPOBSA-N,C00079,No result,6140,Phenylalanine,C9H11NO2,165.079,Amino acids,HMDB0000159,https://doi.org/10.1038/s42003-021-02254-3
proline,increased,plasma,,,All mammals,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C00148,No result,145742,Proline,C5H9NO2,115.0633,Amino acids,HMDB0000162,https://doi.org/10.1038/s42003-021-02254-3
tryptophan,increased,plasma,,,All mammals,QIVBCDIJIAJPQS-VIFPVBQESA-N,C00078,No result,6305,Tryptophan,C11H12N2O2,204.0899,Amino acids,HMDB0000929,https://doi.org/10.1038/s42003-021-02254-3
valine,increased,plasma,,,All mammals,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C00183,No result,6287,Valine,C5H11NO2,117.079,Amino acids,HMDB0000883,https://doi.org/10.1038/s42003-021-02254-3
asparagine,increased,plasma,,,All mammals,DCXYFEDJOCDNAF-REOHCLBHSA-N,C00152,No result,6267,Asparagine,C4H8N2O3,132.0535,Amino acids,HMDB0000168,https://doi.org/10.1038/s42003-021-02254-3
tyrosine,increased,plasma,,,All mammals,OUYCCCASQSFEME-QMMMGPOBSA-N,C00082,No result,6057,Tyrosine,C9H11NO3,181.0739,Amino acids,HMDB0000158,https://doi.org/10.1038/s42003-021-02254-3
histidine,increased,plasma,,,All mammals,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C00135,No result,6274,Histidine,C6H9N3O2,155.0695,Amino acids,HMDB0000177,https://doi.org/10.1038/s42003-021-02254-3
serine,decreased,plasma,,,All mammals,MTCFGRXMJLQNBG-REOHCLBHSA-N,C00065,No result,5951,Serine,C3H7NO3,105.0426,Amino acids,HMDB0000187,https://doi.org/10.1038/s42003-021-02254-3
glutamate,decreased,plasma,,,All mammals,WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00302,No result,57397101,Glutamic acid,C5H9NO4,147.0532,Amino acids,HMDB0060475,https://doi.org/10.1038/s42003-021-02254-3
malate,decreased,plasma,,,All mammals,BJEPYKJPYRNKOW-UHFFFAOYSA-N,C00711,No result,20130941,D-Malic acid,C4H6O5,134.0215,Beta hydroxy acids,HMDB0000744,https://doi.org/10.1038/s42003-021-02254-3
pyruvate/glycine,increased,plasma,,,All mammals,LCTONWCANYUPML-UHFFFAOYSA-M/DHMQDGOQFOQNFH-UHFFFAOYSA-N,No result/C00037,No result/No result,107735/5257127,-,,,,No result/HMDB0000123,https://doi.org/10.1038/s42003-021-02254-3
fumarate/aspartate,increased,plasma,,,All mammals,VZCYOOQTPOCHFL-OWOJBTEDSA-N/CKLJMWTZIZZHCS-REOHCLBHSA-N,C00122/C00049,No result/No result,21883788/44367445,-,,,,HMDB0000134/HMDB0000191,https://doi.org/10.1038/s42003-021-02254-3
fumarate,increased,plasma,,,All mammals,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C00122,No result,21883788,Fumaric acid,C4H4O4,116.011,TCA acids,HMDB0000134,https://doi.org/10.1038/s42003-021-02254-3
aspartate,increased,plasma,,,All mammals,CKLJMWTZIZZHCS-REOHCLBHSA-N,C00049,No result,44367445,Aspartic acid,C4H7NO4,133.0375,Amino acids,HMDB0000191,https://doi.org/10.1038/s42003-021-02254-3
carnitine,increased,plasma,,,All mammals,PHIQHXFUZVPYII-UHFFFAOYSA-N,No result,No result,288,Carnitine,C7H15NO3,161.1052,Carnitines,No result,https://doi.org/10.1038/s42003-021-02254-3
choline,decreased,plasma,,,All mammals,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C00114,No result,305,Choline,C5H14NO,104.1075,Cholines,HMDB0000097,https://doi.org/10.1038/s42003-021-02254-3
3-Amino-2-naphthoic acid,increased,feces,,,Bats,XFXOLBNQYFRSLQ-UHFFFAOYSA-N,No result,No result,22244,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
Indole,increased,feces,,,Bats,SIKJAQJRHWYJAI-UHFFFAOYSA-N,C00463,No result,798,Indole,C8H7N,117.0578,Indoles,HMDB0000738,https://doi.org/10.1371/journal.pone.0196154
3-Methylindole,increased,feces,,,Bats,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,C08313,No result,6736,3-Methylindole,C9H9N,131.0735,Indoles,HMDB0000466,https://doi.org/10.1371/journal.pone.0196154
2-aminomuconic acid semialdehyde,increased,feces,,,Bats,QCGTZPZKJPTAEP-REDYYMJGSA-N,C03824,LMFA01060191,5280625,-,,,,HMDB0001280,https://doi.org/10.1371/journal.pone.0196154
"N,N-Dihydroxy-L-tryptophan",increased,feces,,,Bats,FKJQZUQEYSGYFZ-JTQLQIEISA-N,C19717,No result,23657838,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
Threoninyl-Phenylalanine,increased,feces,,,Bats,IQHUITKNHOKGFC-MIMYLULJSA-N,No result,No result,7010579,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
Valyl-Isoleucine,increased,feces,,,Bats,PNVLWFYAPWAQMU-CIUDSAMLSA-N,No result,No result,7010531,Val-Ile,C11H22N2O3,230.163,Dipeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Leu Asp Lys,increased,feces,,,Bats,MYGQXVYRZMKRDB-SRVKXCTJSA-N,No result,No result,73774936,Leu-Asp-Lys,C16H30N4O6,374.2165,Tripeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Prolyl-Lysine,increased,feces,,,Bats,RVQDZELMXZRSSI-IUCAKERBSA-N,No result,No result,9209431,Pro-Lys,C11H21N3O3,243.1583,Dipeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Ile Gly Arg,increased,feces,,,Bats,NHJKZMDIMMTVCK-QXEWZRGKSA-N,No result,No result,10400000,Ile-Gly-Arg,C14H28N6O4,344.2172,Tripeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Pyrrolidine,increased,feces,,,Bats,RWRDLPDLKQPQOW-UHFFFAOYSA-N,No result,No result,31268,-,,,,HMDB0031641,https://doi.org/10.1371/journal.pone.0196154
Pro Val Pro,increased,feces,,,Bats,ZMLRZBWCXPQADC-TUAOUCFPSA-N,No result,No result,No result,Pro-Val-Pro,C15H25N3O4,311.1845,Tripeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Leu Lys Ala,increased,feces,,,Bats,ZRHDPZAAWLXXIR-SRVKXCTJSA-N,No result,No result,No result,Leu-Lys-Ala,C15H30N4O4,330.2267,Tripeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Leu Pro Lys,increased,feces,,,Bats,YRRCOJOXAJNSAX-IHRRRGAJSA-N,No result,No result,145000000,Leu-Pro-Lys,C17H32N4O4,356.2424,Tripeptides,No result,https://doi.org/10.1371/journal.pone.0196154
Histidinyl-Glycine,increased,feces,,,Bats,LYCVKHSJGDMDLM-LURJTMIESA-N,No result,No result,101179,His-Gly,C8H12N4O3,212.0909,Dipeptides,No result,https://doi.org/10.1371/journal.pone.0196154
L-Homocitrulline,increased,feces,,,Bats,XIGSAGMEBXLVJJ-YFKPBYRVSA-N,C02427,No result,65072,Homocitrulline,C7H15N3O3,189.1113,Amino acids,HMDB0000679,https://doi.org/10.1371/journal.pone.0196154
"L-Lysine 1,6-lactam",increased,feces,,,Bats,BOWUOGIPSRVRSJ-YFKPBYRVSA-N,C02837,No result,440599,L-2-aminohexano-6-lactam,C6H12N2O,128.095,Amino acids,No result,https://doi.org/10.1371/journal.pone.0196154
Ganglioside GD3 (d18:0/12:0),increased,feces,,,Bats,LFCAAHPWGWUACU-SGGMCQCESA-N,No result,No result,53481132,-,,,,HMDB0011856,https://doi.org/10.1371/journal.pone.0196154
"N2,N2-Dimethylguanosine",increased,feces,,,Bats,RSPURTUNRHNVGF-IOSLPCCCSA-N,No result,No result,92919,"N2,N2-Dimethylguanosine",C12H17N5O5,311.123,Purine ribonucleosides,HMDB0004824,https://doi.org/10.1371/journal.pone.0196154
N2-Fructopyranosylarginine,increased,feces,,,Bats,DLFIWFDONDYZKI-UHFFFAOYSA-N,No result,No result,75046985,-,,,,HMDB0041541,https://doi.org/10.1371/journal.pone.0196154
malonylcarnitine,increased,feces,,,Bats,ZGNBLKBZJBJFDG-UHFFFAOYSA-N,No result,No result,71464475,CAR DC3:0,C10H17NO6,247.1056,Acyl carnitines,No result,https://doi.org/10.1371/journal.pone.0196154
"2,4,6-Octatriyn-1-ol",increased,feces,,,Bats,CDDRQTICNABTAT-UHFFFAOYSA-N,No result,No result,11679812,-,,,,HMDB0030968,https://doi.org/10.1371/journal.pone.0196154
apo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)],increased,feces,,,Bats,DKPYGQKMNSGPGT-LURJTMIESA-N,No result,No result,25244460,-,,,,HMDB0059607,https://doi.org/10.1371/journal.pone.0196154
N-Furfurylformamide,increased,feces,,,Bats,RAZUCHVCRRKTKX-UHFFFAOYSA-N,C02854,No result,194461,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
Isopentenyladenine,increased,feces,,,Bats,HYVABZIGRDEKCD-UHFFFAOYSA-N,C04083,No result,92180,N6-(delta2-Isopentenyl)-adenine,C10H13N5,203.1171,6-alkylaminopurines,No result,https://doi.org/10.1371/journal.pone.0196154
6-Isothiocyanato-1-hexene,increased,feces,,,Bats,WRFHVMFZOJHYGN-UHFFFAOYSA-N,No result,No result,184852,-,,,,HMDB0038436,https://doi.org/10.1371/journal.pone.0196154
"2-Chloro-1,1,1-trifluoroethane",increased,feces,,,Bats,CYXIKYKBLDZZNW-UHFFFAOYSA-N,C19367,No result,6408,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
N-3-oxo-tetradec-7(Z)-enoyl-L-Homoserine lactone,increased,feces,,,Bats,MGGGOCSKDLGISA-PTZVLDCSSA-N,No result,No result,10881846,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
N-(1-Deoxy-1-fructosyl)threonine,increased,feces,,,Bats,JUBGLICOZRKBCO-KNWYLTHMSA-N,No result,No result,132000000,-,,,,HMDB0037843,https://doi.org/10.1371/journal.pone.0196154
Lomustine,increased,feces,,,Bats,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,C07079,No result,3950,Lomustine,C9H16ClN3O2,233.0931,Ureas,HMDB0015337,https://doi.org/10.1371/journal.pone.0196154
Methylmercury chloride,increased,feces,,,Bats,BABMCXWQNSQAOC-UHFFFAOYSA-M,C11146,No result,409301,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
Caldine,increased,feces,,,Bats,OTBHHUPVCYLGQO-UHFFFAOYSA-N,C03375,No result,5942,Norspermidine,C6H17N3,131.1422,Dialkylamines,HMDB0011634,https://doi.org/10.1371/journal.pone.0196154
Gaboxadol,increased,feces,,,Bats,ZXRVKCBLGJOCEE-UHFFFAOYSA-N,C13693,No result,28360827,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
2-Propylglutaric acid,increased,feces,,,Bats,IFNXFIJXYVEYLF-UHFFFAOYSA-N,C16658,No result,134970,2-Propylglutaric acid,C8H14O4,174.0892,Dicarboxylic acids,HMDB0060684,https://doi.org/10.1371/journal.pone.0196154
Istamycin X0,increased,feces,,,Bats,LVWCJJGPEHPHJN-OFIDPPGASA-N,C17986,No result,13019103,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
Bithionol,increased,feces,,,Bats,JFIOVJDNOJYLKP-UHFFFAOYSA-N,C07967,No result,2406,Bithionol,C12H6Cl4O2S,353.8843,Aryl thioethers,No result,https://doi.org/10.1371/journal.pone.0196154
Zinnimidine,increased,feces,,,Bats,DSOITGJEUKHAJN-UHFFFAOYSA-N,C10626,No result,442878,Zinnimidine,C15H19NO3,261.1365,Isoindolones,No result,https://doi.org/10.1371/journal.pone.0196154
Dimethyl phosphate,increased,feces,,,Bats,KKUKTXOBAWVSHC-UHFFFAOYSA-N,No result,No result,13134,Dimethylphosphate,C2H7O4P,126.0082,Dialkyl phosphates,HMDB0061734,https://doi.org/10.1371/journal.pone.0196154
Procymidone,increased,feces,,,Bats,QXJKBPAVAHBARF-UHFFFAOYSA-N,C10986,No result,36242,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
"1-amino-3,3-diethoxypropane",increased,feces,,,Bats,PXXMSHBZYAOHBD-UHFFFAOYSA-N,No result,No result,521029,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
?-Thiophenecarboxylic acid,increased,feces,,,Bats,QERYCTSHXKAMIS-UHFFFAOYSA-N,D08568,No result,10700,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154
?-ketoacids,increased,whole organism,,,C. elegans,RBJNNOANVBIZFR-ROHOOUGSSA-N,No result,No result,24901429,-,-,-,-,No result,https://doi.org/10.1111/acel.12439
?-ketoglutarate,increased,whole organism,,,C. elegans,KPGXRSRHYNQIFN-UHFFFAOYSA-L,No result,No result,164533,Oxoglutaric acid,C5H6O5,146.0215,TCA acids,No result,https://doi.org/10.1111/acel.12439
"?-ketoglutarate mimetic, 2,4- pyridinedicarboxylic acid (2,4-PDA)",increased,whole organism,,,C. elegans,MUUDQLHCIAOWPR-UHFFFAOYSA-N,No result,No result,170509,-,-,-,-,No result,https://doi.org/10.1111/acel.12439
?-ketoacids,increased,fibroblasts,,,Mice,RBJNNOANVBIZFR-ROHOOUGSSA-N,No result,No result,24901429,-,-,-,-,No result,https://doi.org/10.1111/acel.12439
pyruvate,increased,whole organism,,,C. elegans,LCTONWCANYUPML-UHFFFAOYSA-M,No result,No result,107735,Pyruvic acid,C3H4O3,88.016,Short-chain acids,No result,https://doi.org/10.1111/acel.12439
3M2OB,increased,whole organism,,,C. elegans,QHKABHOOEWYVLI-UHFFFAOYSA-M,No result,No result,5204641,-,-,-,-,No result,https://doi.org/10.1111/acel.12439
3M2OV,increased,whole organism,,,C. elegans,JVQYSWDUAOAHFM-UHFFFAOYSA-M,No result,No result,4298878,-,-,-,-,No result,https://doi.org/10.1111/acel.12439
4M2OV,increased,whole organism,,,C. elegans,BKAJNAXTPSGJCU-UHFFFAOYSA-N,C00233,No result,70,Ketoleucine,C6H10O3,130.063,Short-chain keto acids,HMDB0000695,https://doi.org/10.1111/acel.12439
gamma-glutamylisoleucine*,decreased,plasma,male,,Naked mole-rats,SNCKGJWJABDZHI-ZKWXMUAHSA-N,No result,No result,22885096,gamma-Glutamylisoleucine,C11H20N2O5,260.1372,Dipeptides,No result,https://doi.org/10.1007/s11357-018-0014-2
X - 18260,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2
X - 16947_1,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2
2-docosahexaenoyl-GPC (22:6)*,decreased,plasma,male,,Naked mole-rats,FPEVDFOXMCHLKL-KFDYCXSYSA-N,No result,LMGP01010913,24778955,-,,,,HMDB0008123,https://doi.org/10.1007/s11357-018-0014-2
X - 17383,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2
N-acetyltyrosine,decreased,plasma,male,,Naked mole-rats,CAHKINHBCWCHCF-UHFFFAOYSA-N,No result,No result,89216,N-Acetyltyrosine,C11H13NO4,223.0845,Amino acids,No result,https://doi.org/10.1007/s11357-018-0014-2
methyl-beta-glucopyranoside,decreased,plasma,male,,Naked mole-rats,HOVAGTYPODGVJG-XUUWZHRGSA-N,No result,No result,445238,Methyl glucose,C7H14O6,194.079,Monosaccharides,No result,https://doi.org/10.1007/s11357-018-0014-2
X - 16480,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2
gamma-glutamylphenylalanine,decreased,plasma,male,,Naked mole-rats,XHHOHZPNYFQJKL-QWRGUYRKSA-N,No result,No result,111299,gamma-Glutamylphenylalanine,C14H18N2O5,294.1216,Dipeptides,HMDB0000594,https://doi.org/10.1007/s11357-018-0014-2
palmitoyl sphingomyelin (d18:1/16:0),increased,plasma,male,,Naked mole-rats,RWKUXQNLWDTSLO-GWQJGLRPSA-N,No result,LMSP03010003,9939941,SM 18:1;O2/16:0,C39H79N2O6P,702.5676,SM,HMDB0061712,https://doi.org/10.1007/s11357-018-0014-2
gamma-glutamylleucine,decreased,plasma,male,,Naked mole-rats,MYFMARDICOWMQP-YUMQZZPRSA-N,No result,No result,151023,gamma-Glutamylleucine,C11H20N2O5,260.1372,Dipeptides,No result,https://doi.org/10.1007/s11357-018-0014-2
gamma-glutamylvaline,decreased,plasma,male,,Naked mole-rats,AQAKHZVPOOGUCK-XPUUQOCRSA-N,No result,No result,7015683,gamma-Glutamylvaline,C10H18N2O5,246.1216,Dipeptides,No result,https://doi.org/10.1007/s11357-018-0014-2
glycodeoxycholate,increased,plasma,male,,Naked mole-rats,WVULKSPCQVQLCU-BUXLTGKBSA-N,C05464,LMST05030006,3035026,Glycodeoxycholic acid,C26H43NO5,449.3141,C24 bile acids,No result,https://doi.org/10.1007/s11357-018-0014-2
